id,insee_code,town_name,zip_code,routing_label,line_5,geopoint
27377,08494,WADELINCOURT,08200,WADELINCOURT,NULL,0101000020E61000007B3606F8C9B81340E65B1FD61BD74840
27378,08496,WAGNON,08270,WAGNON,NULL,0101000020E6100000124E0B5EF4D1114094DE37BE76D24840
27379,08497,WARCQ,08000,WARCQ,NULL,0101000020E6100000928FDD054AAA12403991AA3734E24840
27380,08498,WARNECOURT,08090,WARNECOURT,NULL,0101000020E6100000E94DA0E3FE9E12404F58E201E5DD4840
27381,08499,WASIGNY,08270,WASIGNY,NULL,0101000020E61000003571BC4C5E721140EF867EB78AD04840
27382,08500,WIGNICOURT,08270,WIGNICOURT,NULL,0101000020E6100000747EE59C335512409EA921BB1CCB4840
27383,08501,WILLIERS,08110,WILLIERS,NULL,0101000020E6100000EA45A3F1FA36154034C7A821E0D54840
27384,08502,YONCQ,08210,YONCQ,NULL,0101000020E610000038C0273163111440B600231E3FC84840
27385,08503,YVERNAUMONT,08430,YVERNAUMONT,NULL,0101000020E610000070B3D36AA3A512402E98AE168ED64840
27386,09001,AIGUES JUNTES,09240,AIGUES JUNTES,NULL,0101000020E61000003EA4294C2989F73F5EABF35E6B864540
27387,09002,AIGUES VIVES,09600,AIGUES VIVES,NULL,0101000020E610000016B545E39A0CFE3F4E0A9865F47F4540
27388,09003,L AIGUILLON,09300,L AIGUILLON,NULL,0101000020E61000007C033862D274FE3FF231699D82744540
27389,09004,ALBIES,09310,ALBIES,NULL,0101000020E6100000BA1FA633E624FB3F489BF4087F604540
27390,09005,ALEU,09320,ALEU,NULL,0101000020E6100000B60D4867054BF43FD8C7F95143724540
27391,09006,ALLIAT,09400,ALLIAT,NULL,0101000020E6100000E41CD02DCF3EF93F84F46FF2B6684540
27392,09007,ALLIERES,09240,ALLIERES,NULL,0101000020E61000001C870B8A30CFF53F2AAA23EC00854540
27393,09008,ALOS,09200,ALOS,NULL,0101000020E6100000080BDDDBE31BF23F23C1AFEC5D734540
27394,09009,ALZEN,09240,ALZEN,NULL,0101000020E6100000E6B056485443F73FD67DB6C4807D4540
27395,09011,ANTRAS,09800,ANTRAS,NULL,0101000020E6100000D13B1570CFF3EC3FA63FA0D8AF6F4540
27396,09012,APPY,09250,APPY,NULL,0101000020E61000006F5E413FF8E5FB3F6C4B2E10CE664540
27397,09013,ARABAUX,09000,ARABAUX,NULL,0101000020E6100000C0971D3DD928FA3FF205D26A6D7D4540
27398,09014,ARGEIN,09800,ARGEIN,NULL,0101000020E61000005A77989B14ABEF3F4ABAC1ABC0764540
27399,09015,ARIGNAC,09400,ARIGNAC,NULL,0101000020E61000005C936E4BE492F93FBECB56A8FF6F4540
27400,09016,ARNAVE,09400,ARNAVE,NULL,0101000020E61000000D631C6D665EFA3F02017C01076D4540
27401,09017,ARRIEN EN BETHMALE,09800,ARRIEN EN BETHMALE,NULL,0101000020E61000004B6947BB1BD5F03FF8BFC870E16F4540
27402,09018,ARROUT,09800,ARROUT,NULL,0101000020E6100000C897F5076F54F03FC2244B9C4B794540
27403,09019,ARTIGAT,09130,ARTIGAT,NULL,0101000020E6100000B0C4A810342BF73FA68416C8A2924540
27404,09020,ARTIGUES,09460,ARTIGUES,NULL,0101000020E6100000682101A3CB530040A2EE03905A584540
27405,09021,ARTIX,09120,ARTIX,NULL,0101000020E6100000F212F7B3B303F93F60843AF67D884540
27406,09022,ARVIGNA,09100,ARVIGNA,NULL,0101000020E610000026BDB90908A7FB3F80FFF7F161874540
27407,09023,ASCOU,09110,ASCOU,NULL,0101000020E6100000647AC2120FC8FE3FD2FD41C9095C4540
27408,09024,ASTON,09310,ASTON,NULL,0101000020E610000095B146E28A90FA3F5F32440452594540
27409,09025,AUCAZEIN,09800,AUCAZEIN,NULL,0101000020E61000004271112917F4EE3FB85219106B764540
27410,09026,AUDRESSEIN,09800,AUDRESSEIN,NULL,0101000020E6100000FA974979524BF03F94128255F5764540
27411,09027,AUGIREIN,09800,AUGIREIN,NULL,0101000020E61000009A2842EA7676ED3FD200DE0209754540
27412,09029,AULUS LES BAINS,09140,AULUS LES BAINS,NULL,0101000020E6100000BAC2BB5CC4B7F53F45BA9F5390614540
27413,09030,AUZAT,09220,AUZAT,NULL,0101000020E61000006F7EC34483F4F63F5E6B4A0D48594540
27414,09031,AXIAT,09250,AXIAT,NULL,0101000020E61000008A8B48B9A033FC3FA8273D1D59664540
27415,09032,AX LES THERMES,09110,AX LES THERMES,NULL,0101000020E6100000CDB2823A401BFD3FD48558FD91574540
27416,09033,BAGERT,09230,BAGERT,NULL,0101000020E61000006444FD892520F13F548D5E0D508A4540
27417,09034,BALACET,09800,BALACET,NULL,0101000020E6100000D479F9426D80EF3F2C9386BFCB714540
